Id_bien,id_codedep_codecommune,No voie,B/T/Q,Type_voie,Voie,Code_postal,Code_ID_commune,Prefixe_section,Section,No_plan,Lot,Surface_carrez,Type local,Surface_reelle_bati,Nb_piece_principale,Nature_culture,Nature_culture_speciale,Surface_terrain
A302_01103_12,01103,347,,RUE,DU CHATEAU,1170,1,,A,302,12,"48,22",Appartement,48,3,,,
CP186_06004_132,06004,4,,BD,EDOUARD BAUDOIN,6160,205,,CP,186,132,"39,11",Appartement,40,1,,,
LS169_06088_99,06088,20,B,RUE,MARCEAU,6000,142,,LS,169,99,"80,25",Appartement,82,3,,,
AO348_06123_242,06123,550,,RTE,DES VESPINS RN7,6700,228,,AO,348,242,"27,51",Appartement,27,1,,,
AW224_13005_218,13005,9300,,RES,LES ARPEGES BD DES ABA,13400,326,,AW,224,218,"47,33",Appartement,47,2,,,
AB69_13028_2,13028,27,,RUE,DU GRAND MADIER,13600,331,,AB,69,2,"25,31",Appartement,24,1,,,
843C21_13208_112,13208,360,,AV,DU PRADO,13008,327,843,C,21,112,"70,84",Appartement,70,3,,,
873A97_13212_1080,13212,5076,F,PARC,DESSUARD,13012,343,873,A,97,1080,"67,19",Appartement,66,3,,,
AC181_14338_155,14338,1194,,RUE,DE NORMANDIE,14510,372,,AC,181,155,"18,89",Appartement,19,1,,,
BH93_14366_32,14366,30,,ALL,DES NOISETIERS,14100,366,,BH,93,32,"105,37",Maison,99,4,,,
CZ138_17300_6,17300,11,,RUE,ROUGET DE L ISLE,17000,390,,CZ,138,6,"31,99",Appartement,34,2,,,
MZ143_25056_6,25056,13,,RUE,BERTHE MORISOT,25000,480,,MZ,143,6,"96,21",Maison,100,5,,,
KI28_29232_305,29232,1,,RUE,DU POHER,29000,595,,KI,28,305,"30,86",Appartement,31,1,,,
BO199_29260_3,29260,2,,RUE,DES JARDINS,29290,602,,BO,199,3,"66,21",Appartement,67,3,,,
834AB141_31555_9,31555,5,,AV,DU COMMANDANT TAILLANDIER,31500,732,834,AB,141,9,"45,58",Appartement,46,2,,,
EK259_33063_8,33063,15,,RUE,PAUL DENUCE,33800,796,,EK,259,8,"23,2",Appartement,27,1,,,
HD203_33063_12,33063,176,,RUE,SAINTE CATHERINE,33000,783,,HD,203,12,"13,1",Appartement,12,1,,,
CA93_33097_89,33097,822,G,,LA BAYNASSE SUD,33121,877,,CA,93,89,29,Appartement,29,2,,,
DL118_33449_207,33449,9,,RUE,DE BELFORT,33160,782,,DL,118,207,"51,4",Appartement,51,2,,,
